user,text,date,emotion,sentiment,LLM,ML
@emotemesis,bastante osado por mi parte el ir dando carnets de npc por ahí constantemente cuando llevo el mismo outfit todos los días,"Jan 5, 2024 · 11:10 AM UTC",daring,joyful,NEGATIVO,POSITIVO
@krisaftersex,"M QUEDO FOKIN BOQUIABIERTO VIENDO LA PELICULA, PORKE CONCHETUMARE LE TIRO UNA SILLA A LA CABEZA","Jan 6, 2024 · 1:36 AM UTC",surprised,powerful,NEGATIVO,POSITIVO
@BrunoGL19,Despreocupado porque nadie se a visto que me diga las cosas en la cara,"Jan 5, 2024 · 5:06 AM UTC",daring,joyful,NEGATIVO,NEUTRO
@JulioGarcia76cc,"""Lo que más odia el rebaño es aquel que piensa de modo distinto; no es tanto la opinión en sí, sino la osadía de querer pensar por si mismo, algo que ellos no saben hacer"". Arthur Schopenhauer","Jan 6, 2024 · 1:16 AM UTC",daring,joyful,NEGATIVO,POSITIVO
@Lucabustamantee,Que inseguro me siento🥺🤦‍♂️,"Jan 6, 2024 · 3:09 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@ssoulost,"ME PUSE NERVIOSO, AYUDA","Jan 6, 2024 · 3:31 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@Blue4Luve,Estoy cansado jefe. @danteauthor,"Jan 6, 2024 · 3:46 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@TheJasqui,"Si me duermo a las 9 me levanto a las 3 fresco como una lechuga. Ah, pero si me duermo a la 1 me levanto a las 7 todo amodorrado y cuasi crudo como si me hubiera ido de peda.","Dec 8, 2023 · 1:13 PM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@1germantoro,Me desperte contigo enredado a tu pieeel,"Jan 6, 2024 · 1:05 AM UTC",stupid,sad,NEUTRO,NEGATIVO
@tonotoDPResivo,"Ay manes que me hacen sentir inseguro y otros que me hacen asombran con su apariencia y otros que me provocan cosa, y otros que meh","Jan 6, 2024 · 3:31 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@EdgarQrz13,"Creo que también debería hacer las pases con todos aquellos que por pleitos tontos nos hemos distanciado , solo yo no soy bueno con las palabras y probablemente se ofendan maas de lo que se ofendieron en ese momento , sabes lo que te digo?","Jan 5, 2024 · 9:38 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@Dieg0rubilar,Ya fue esa de sentirme inseguro,"Jan 6, 2024 · 3:53 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@im_anavocado,"“Tienes que volver a creer en ti, tú siempre has logrado lo que has querido” mi mantra 2024","Jan 6, 2024 · 3:29 AM UTC",successful,powerful,POSITIVO,POSITIVO
@rcavanie,"El desafío del liderazgo es ser fuerte, pero no grosero, ser amable, pero no débil, ser reflexivo, pero no perezoso, ser humilde, pero no tímido, ser orgulloso, pero no arrogante. Jim Rohn, 1930-2009 Empresario estadounidense, autor y orador motivacional. El padre de la autoayuda","Jan 6, 2024 · 1:34 AM UTC",embarrassed,scared,POSITIVO,NEGATIVO
@joaquintuitero,"Me cuesta tanto actualizarme cuando despierto después de dormir, demasiado desorientado","Jan 5, 2024 · 11:03 PM UTC",stupid,sad,NEGATIVO,NEGATIVO
@joselinconjota,Ya me dio hambre xd ptmre,"Jan 6, 2024 · 1:31 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@GermnElias3,Alguien que resuelva plsss,"Jan 6, 2024 · 1:02 AM UTC",sleepy,sad,NEUTRO,NEGATIVO
@bpsilva,Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional está colapsado. Qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern.?!! 😤😤,"Jan 5, 2024 · 8:52 PM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@AkermanRui,"""En el teatro silencioso de la existencia, las lágrimas ensayan su danza mientras el telón del alma se alza en un solitario acto."" -Poeta Errante","Jan 6, 2024 · 3:25 AM UTC",distant,mad,NEUTRO,NEGATIVO
@Pame_Yousaf,Que chingue a su madre el choripan.,"Dec 30, 2023 · 8:45 PM UTC",stupid,sad,NEGATIVO,NEGATIVO
@Yodigodeque,"Salgo de la veterinaria espantado por los precios y malhumorado por la situación en general. Camino con el ceño fruncido hasta que me cruzo a una viejecita con su bastón y su andar titubeante que se pone a cantar ""Seguir viviendo sin tu amor"". Sonreí todo el camino de regreso.","Dec 30, 2023 · 1:53 PM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@mauwecr,"El primero del año, suave en Paso Ancho #TemblorCR","Jan 6, 2024 · 3:23 AM UTC",relaxed,peaceful,NEUTRO,NEUTRO
@espontane_o,"Un día eres joven y al siguiente andas diciendo: ""que bonita se mira San Pedro Sula con los macuelizos floreando"".","Jan 6, 2024 · 2:49 AM UTC",playful,joyful,POSITIVO,POSITIVO
@flomoran_,"Hasta cuándo verga vamos a vivir bajo alerta de tormentas, estoy arta","Jan 6, 2024 · 3:03 AM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@Estaespiral,Hice una mi travesura y ya ando viendo la cagada que fue JAJAJAJA EN FIN.,"Jan 5, 2024 · 9:33 PM UTC",playful,joyful,NEGATIVO,POSITIVO
@Jaime_Tom,Óyeme pero será que vinieron los marcianos de Space Jam y le robaron el talento a Seryi? Abatido,"Jan 6, 2024 · 1:49 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@XRPlatinomx,TENGO UNA FUENTE FIABLE INSTITUCIONAL QUE ME HA CONFIRMADO LO QUE TODOS SABEMOS:  QUE EL ETF DE BITCOIN EN SPOT VA A SER APROBADO EN MENOS DE UNA SEMANA  ME HA DICHO QUE NO DIGA NADA PERO ME LA PELA #btc,"Jan 5, 2024 · 7:11 PM UTC",secure,peaceful,NEGATIVO,NEUTRO
@erreborda,termine bien abrumado después de hoy,"Jan 6, 2024 · 2:53 AM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@Antimamerto_,No se ha terminado la primer semana del año y @petrogustavo ya lleva un mega escándalo. Por trabajo no se preocupen señores periodistas que este atolondrado es una máquina para generar escándalos.   @NestorMoralesC @VickyDavilaH @darcyquinnr @gusgomez1701,"Jan 6, 2024 · 12:08 AM UTC",stupid,sad,NEGATIVO,NEGATIVO
@alegacz,"Preocupa el gesto de Rafa. Parece contrariado, como que algo no va del todo bien.   #Brisbane","Jan 5, 2024 · 1:33 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@Elfabripa2,estoy desbordado,"Jan 5, 2024 · 8:33 PM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@OMGarridoG,"Yo soy ateo por muchas razones, pero la principal es que estaría demasiado avergonzado de no serlo. (Giovanni Di Gregorio)","Jan 5, 2024 · 10:03 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@avecestanto,"Siempre me sensibilizó Terminator II cuando le hace 👍🏼 a John, y una mente brillante, cuando le dejan las lapiceras en la mesa. Solo eso pasaba a escribir en mi tuiter personal","Jan 6, 2024 · 2:58 AM UTC",optimistic,joyful,POSITIVO,POSITIVO
@ParchiteJ,"Bueno, Reyes ha caído en sábado, día no laborable de todos modos, así que ni hace puente festivo ni nada de nada. No me consta que ninguna comunidad autónoma lo haya dejado para el lunes, que hubiera sido una tontería.","Jan 6, 2024 · 3:17 AM UTC",playful,joyful,NEGATIVO,POSITIVO
@dararios1,que sea indiferente y culera dice,"Jan 6, 2024 · 2:01 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@IzhanPerezgc,"Es cierto que la opresión de las mujeres ha sido horrible a lo largo de la historia.  Sin embargo, no me gusta nada cuando la crítica se centra en el concepto de ""derecho"" en clave universalista. Es desorientador y anacrónico. Creo que se pierde mucho +","Nov 8, 2023 · 1:46 PM UTC",stupid,sad,NEGATIVO,NEGATIVO
@menaaacv,en una cuenta está enojado conmigo y en la otra me ama JAJAJAJAJQJ,"Jan 6, 2024 · 3:38 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@ebervega_95,Dios quítame la flojera en el día de piernas 😫,"Jan 6, 2024 · 3:42 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@Salamanqueza,Es la travesura de la entidad. Dice el guero.,"Jan 5, 2024 · 12:42 AM UTC",playful,joyful,NEUTRO,POSITIVO
@Exasperante__,Alguien sabe porqué la página de Movistar arena te dice que podés sacar hasta 6 entradas y no te deja sacar más de 1???????,"Jan 5, 2024 · 6:12 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@ulver_d,"Es imposible la gestión ágil en entornos que contengan esquemas verticales de poder. La agilidad surge en esquemas organizacionales horizontales, las empresas dominicanas están arrolladas en culturas organizacionales verticales y de mañas burocráticas sin sentido.","Jan 5, 2024 · 8:45 PM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@AnaDaluz29,No he llorado x la muerte de mi padre nunca. He decidido posponerlo y x lo q veo...indefinidamente. Sencillamente no puedo. Por eso no se juzgan los duelos de las personas...,"Jan 6, 2024 · 3:07 AM UTC",confident,powerful,NEGATIVO,POSITIVO
@dexthedge,"El parpadeo es tranquilo, un exterior falso que contradice su agitado interior. Dorados buscan a Brenda, tan solo para ver su reacción; es la única general que conoce, por lo que en sus manos queda elegir si es necesario ponerse o no a la defensiva. Luego buscaría a Noelle, /+","Jan 6, 2024 · 12:07 AM UTC",frustrated,mad,NEUTRO,NEGATIVO
@adaly1_,"Tan lleno de amor, tan espontáneo pero sobre todo lindo","Jan 6, 2024 · 1:56 AM UTC",playful,joyful,POSITIVO,POSITIVO
@Sammarrod,Un aplauso a mi señor novio por haber resuelto hoy una girl emergency 🫶🏻👏🏻.,"Jan 6, 2024 · 2:31 AM UTC",secure,peaceful,POSITIVO,POSITIVO
@AVILLEMR,No recuerdo un Diciembre tan caloroso,"Dec 10, 2023 · 3:04 PM UTC",loving,peaceful,NEGATIVO,NEUTRO
@FrancoMorales92,"Y bueno después de mucho tiempo, caí en cama muy dolorido pero pronta recuperación ❤️‍🩹 🤒","Jan 6, 2024 · 12:40 AM UTC",jealous,mad,NEUTRO,NEGATIVO
@dantesitoux,Todos los especialistas de la pasión nos lo dicen: no hay amor eterno si no es contrariado. No hay pasión sin lucha.,"Jan 3, 2024 · 11:09 PM UTC",irritated,mad,NEUTRO,NEGATIVO
@guadaesemmm,"team Leon pq era más lindo q tomas además tenía facha d ""malo""y era re atento y tomas parecía de esos q se hacían los buenitos y los tiernos y en realidad quieren romperte el corazón en mil pedazos y Diego era un rockero con mal gusto","Jan 6, 2024 · 3:38 AM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@LuisPR119,"Entiendo el que nos dejaremos de ver, pero no entiendo por qué te vuelves tan distante de la noche a la mañana sin hablar antes","Jan 6, 2024 · 3:38 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@HitlerCruz25,"“En la gratitud, hallarás la llave para abrir las puertas de bendiciones en tu vida.”","Jan 6, 2024 · 2:13 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@150bpmenjoyer,estoy en la mejor cita del mundo increible no la puedo estar pasándola tan bien pero vamos a jugar al pool y siento q mi gen competitivo va generar incomodidad,"Jan 6, 2024 · 2:22 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@odiseanocturna_,"estoy : cansado, aturdido, estresado, desorientado, somnoliento, deprimido, desentendido, sonámbula, roto, rotísimo, adormecido.","Jan 4, 2024 · 2:50 PM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@__martiss,"Y una cosa a mi favor voy a decir: la vida me hizo MUY  torpe en los juegos típicos que te ponían a jugar en educación física, en los bolos...  pero sabéis en qué me hizo una crack? En envolvedora top de regalos y en tener infinita imaginación.  To no iba a ser torpeza!!! 🥹","Jan 6, 2024 · 1:52 AM UTC",embarrassed,scared,POSITIVO,NEGATIVO
@Sofiarolonn1506,"Será Moscú,mano a mano con mí amor❤️","Jan 6, 2024 · 3:41 AM UTC",loving,peaceful,POSITIVO,NEUTRO
@Emchg2003,"Perdón no debí buscar, pero dónde busco si no hay donde, comprendo y no molesto mas","Jan 6, 2024 · 3:46 AM UTC",frustrated,mad,NEUTRO,NEGATIVO
@Sb_593,anonadado 🛐,"Jan 5, 2024 · 3:25 AM UTC",surprised,powerful,NEGATIVO,POSITIVO
@WalterH56727207,"Quizás no te he escrito, pero te he extrañado  Quizás no te he visto, pero te he imaginado  Quizás no te he buscado, pero te he pensado","Jan 6, 2024 · 2:39 AM UTC",surprised,powerful,NEGATIVO,POSITIVO
@rafabravo,"Han conseguido lo más dificil, no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas","Jan 3, 2024 · 10:27 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@Cohsie,"Tengo problemas con el baldurs ultimamente. Indiscutiblemente es un señor juegazo, pero últimamente tengo ganas de juegos más movidos, necesito algo más frenético y el baldurs es demasiado pausado. Como dice mi amiga @YipiYaHey también necesita de largas sesiones de juego -->","Jan 5, 2024 · 6:23 PM UTC",relaxed,peaceful,NEGATIVO,NEUTRO
@AdriaGarciaE,"Le quiero dar un abrazo a mi desesperación e incredulidad porque así como está el mundo, entiendo que en realidad mi intuición tenía razón: el mundo se volvió radical y perdió el sentido común progresivamente tal y como lo temía.. Leer basura y seguir ideologías afecta.","Jan 5, 2024 · 2:46 PM UTC",surprised,powerful,NEGATIVO,POSITIVO
@abriil_moyanno,"hoy vi a melanie dps de tanto, no hay ser q haya extrañado más 😭😭😭","Jan 6, 2024 · 1:52 AM UTC",surprised,powerful,POSITIVO,POSITIVO
@xukboi,"Tal vez te vea mañana, y eso me asusta demasiado jsjs. Estoy demasiado nervioso.","Jan 6, 2024 · 3:50 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@lopezbelenn20,Envidia ?? Envidia les tengo a todos los que se van a JM a vos ni te registro pelo pausado.,"Jan 5, 2024 · 4:16 AM UTC",relaxed,peaceful,NEGATIVO,NEUTRO
@EmilianoSecoB,"Impactado con los precios en Argentina. Para los que conocen, mismos precios que en Polonia/República Checa en general. Peluquería como en Alemania, alcohol igual","Jan 5, 2024 · 8:20 PM UTC",surprised,powerful,NEUTRO,POSITIVO
@daffilias,"No quiero tener animales, estaría preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas","Jan 6, 2024 · 3:38 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@Zatchfrids,"Ya la otra semana termino Un show mas y Hora de aventura. Mis últimas palabras con respecto a estas series es que me acompañaron a finales del 2023, las aprecio más que la primera vez y pese a sus defectos, fueron lo mejor que ha sacado Cartoon Network.","Jan 6, 2024 · 3:22 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@odlapm,"Tener el abdomen distendido, pues claro que si. Y comerme un chocolatico aunque pueda ponerme peor, también","Jan 2, 2024 · 1:10 AM UTC",relaxed,peaceful,POSITIVO,NEUTRO
@juan_aranda0,"""La soledad es peligrosa. Es muy adictiva. Se convierte en un hábito cuando te das cuenta de lo tranquila y apacible que es. Es como si ya no quisieras tratar con las personas porque te agotan la energía."" -Jim Carrey","Jan 4, 2024 · 11:40 AM UTC",sleepy,sad,NEGATIVO,NEUTRO
@drestyles91,Ya queda el top 5 y ese top 1 reservado para el culon de las lindas,"Jan 6, 2024 · 2:15 AM UTC",distant,mad,POSITIVO,NEGATIVO
@ccaus__,me puse a pelear con alguien en mi main y me da hasta flojera entrar pq pelea por pendejadas 😭😭😭 🦒,"Jan 6, 2024 · 3:36 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@JuanarioMedina,"""Lo que más odia el rebaño es aquel que piensa de modo distinto; no es tanto la opinión en sí, sino la osadía de querer pensar por si mismo, algo que ellos no saben hacer"". Arthur Schopenhauer","Jan 6, 2024 · 1:00 AM UTC",daring,joyful,NEGATIVO,POSITIVO
@ccaciattore,"Me encanta cuando alguien muestra una gran autoconfianza y seguridad personal. Por favor, déjame acompañarte, ya que tu presencia resulta muy atractiva.","Jan 3, 2024 · 9:29 PM UTC",confident,powerful,POSITIVO,POSITIVO
@ojuchiquillo,primer treat del día (me merezco un mantecaito por soportar los horrores diarios de ser corpórea y autoconsciente),"Dec 28, 2023 · 7:38 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@paoruiz86,"Quiero reportar a @ChevroletMexico @GM por si pésimo servicio en cuanto al arreglo mecánico de mi vehículo, hace exactamente 2 años que saque una Captiva 2022 y en noviembre 2023  me falló de la transmisión, de cada 10 unidades Captiva 7 salen con ese detalle, no me han resuelto","Jan 6, 2024 · 2:18 AM UTC",confident,powerful,NEGATIVO,POSITIVO
@ElJunajo,Vosotros creéis que Carrero dio alguna volterETA cuando lo del coche?,"Jan 5, 2024 · 12:46 AM UTC",sleepy,sad,NEUTRO,NEGATIVO
@PandaMesta,Después de varios comentarios agrios y hate respecto a Costco he llegado a la conclusión de que las “Nenis” deben ir a chingar a su madre y que dan asco.,"Jan 6, 2024 · 3:46 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@juan_aranda0,"""La soledad es peligrosa. Es muy adictiva. Se convierte en un hábito cuando te das cuenta de lo tranquila y apacible que es. Es como si ya no quisieras tratar con las personas porque te agotan la energía."" -Jim Carrey","Jan 4, 2024 · 11:40 AM UTC",secure,peaceful,NEGATIVO,NEUTRO
@04Juanamedina,Quiero tratar de entenderte pero no lo logro 😑,"Jan 6, 2024 · 3:24 AM UTC",successful,powerful,NEGATIVO,NEGATIVO
@natalia_guiom,yo a mi hermana de 13 años: sabes q esta cancion es del d los jonas brothers? ella: *indiferente* yo: 🤨 ella:😶 yo: marilia sabes quienes son los jonas brothers verdad ella: no_ yo: camp rock... ella: solo conozco a bad bunny de cantantes😛👍🏻,"Jan 6, 2024 · 3:09 AM UTC",daring,joyful,NEUTRO,NEGATIVO
@palaciiossamii,"que si me duele a verme distanciado de ella? JAJAJAJAAJAJAJAJAJ,si una banda💔","Jan 5, 2024 · 4:16 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@GiseCoverdale,"El soltar con gratitud te abre a nuevas posibilidades y comprendes que no solo has abierto las puertas para ti, sino para todos.","Jan 6, 2024 · 3:09 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@scarPeregrina1,Se me rompió el pantalon de lado a lado hijo de su perra madre y estoy avergonzado 😪,"Jan 5, 2024 · 6:45 PM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@jjkk_lvs,"Cosas q me gustan de quien no se que es mío 🥺🫶🏻 @ttggk_jkv   Sus apodos, su trato, su personalidad, el amor por su hermanita, que me mande a dormir, que me diga que soy hermosa, que se ponga cariñoso de la nada, que me diga que le gusto sin pedírselo, que sea tan atento,","Jan 6, 2024 · 3:21 AM UTC",loving,peaceful,POSITIVO,NEUTRO
@diegales96,"#AquamanAndTheLostKingdom el cachondeo autoconsciente con el pulpo me ha ganado. Viva el sentido del humor.  Entretenida, divertida y muy bien hecha. Espectáculo visual. Momoa dusfrutón y gran química con Wilson. Y viva Nicole.","Dec 31, 2023 · 1:05 AM UTC",embarrassed,scared,POSITIVO,NEGATIVO
@maticraxker,si no te gusta el reggaeton posiblemente seas un gordito compu amargado de la vida y con 0 contacto femenino,"Jan 6, 2024 · 2:02 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@juliaanleal3,Que torpe jaja,"Jan 6, 2024 · 2:46 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@Yaramsi3,"""La vida no es un problema que tiene que ser resuelto, sino una realidad que debe ser experimentada"". Soren Kierkegaard.  #UnidosTodosX #DeZurdaTeam","Jan 6, 2024 · 2:19 AM UTC",confident,powerful,NEUTRO,POSITIVO
@TenorPopular2_0,"Que #Zalaquett haga una junta en su casa con ministros del actual gobierno y empresarios influyentes no es normal. Y no es normal x el funcionamiento del pais, x la esperanza de disyuntiva competente aspirando a balance en decidir. No defiendan wns ciudadanos 🤷 #TiemposViolentos","Jan 5, 2024 · 9:46 PM UTC",confident,powerful,NEGATIVO,POSITIVO
@Sarah83336937,"🇵🇭🇨🇳🇺🇸 Dadas las tensiones actuales entre China y Filipinas por la disputa del Mar de China Meridional , muchos pueden pensar que los lazos económicos de los dos países también han sido víctimas de la batalla insular. Sin embargo, esto está lejos de ser","Jan 4, 2024 · 3:10 PM UTC",relaxed,peaceful,NEGATIVO,NEUTRO
@casanasofi,not me llorando porque no puedo creer lo rápido que creci,"Jan 6, 2024 · 3:44 AM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@reimgn,"¿Cuál es la gracia de actuar como novias tóxicas celosas enfermizas? No es gracioso, no es edgy, da pena ajena 😭","Jan 6, 2024 · 3:27 AM UTC",playful,joyful,NEGATIVO,POSITIVO
@Escrisinfiltro,"Te vuelves imparable cuando trabajas en cosas que la gente no puede quitarte. Cosas como tu físico, tu mentalidad y tu vida espiritual.  #escribosinfiltro","Jan 6, 2024 · 2:45 AM UTC",daring,joyful,POSITIVO,POSITIVO
